         55355253 function calls (51605330 primitive calls) in 264.199 seconds

   Ordered by: cumulative time
   List reduced from 6223 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     76/7    4.449    0.059   23.531    3.362 D:\IDE\envs\smart_cab\Lib\site-packages\torch\serialization.py:2060(persistent_load)
    18629   13.334    0.001   13.785    0.001 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
36896/803   81.137    0.002    9.595    0.012 {built-in method time.sleep}
 3275/152    0.549    0.000    6.782    0.045 D:\IDE\envs\smart_cab\Lib\site-packages\pyaudio\__init__.py:553(read)
    35896    1.865    0.000    5.136    0.000 D:\IDE\envs\smart_cab\Lib\collections\__init__.py:355(namedtuple)
       16    0.000    0.000    4.588    0.287 D:\IDE\envs\smart_cab\Lib\site-packages\requests\sessions.py:500(request)
       16    0.000    0.000    4.569    0.286 D:\IDE\envs\smart_cab\Lib\site-packages\requests\sessions.py:673(send)
       16    0.000    0.000    4.267    0.267 D:\IDE\envs\smart_cab\Lib\site-packages\requests\adapters.py:613(send)
       16    0.000    0.000    4.258    0.266 D:\IDE\envs\smart_cab\Lib\site-packages\urllib3\connectionpool.py:592(urlopen)
        1    0.000    0.000    3.064    3.064 D:\IDE\envs\smart_cab\Lib\site-packages\sounddevice.py:381(wait)
        1    0.000    0.000    3.064    3.064 D:\IDE\envs\smart_cab\Lib\site-packages\sounddevice.py:2646(wait)
    35904    2.818    0.000    2.867    0.000 {built-in method builtins.eval}
        5    0.000    0.000    2.854    0.571 D:\IDE\envs\smart_cab\Lib\site-packages\requests\api.py:62(get)
        5    0.000    0.000    2.854    0.571 D:\IDE\envs\smart_cab\Lib\site-packages\requests\api.py:14(request)
    10429    0.025    0.000    2.664    0.000 D:\IDE\envs\smart_cab\Lib\site-packages\tensorflow\python\framework\ops.py:277(_create_graph_constant)
       72    0.000    0.000    2.577    0.036 D:\IDE\envs\smart_cab\Lib\socket.py:706(readinto)
       16    0.000    0.000    2.305    0.144 D:\IDE\envs\smart_cab\Lib\site-packages\urllib3\connectionpool.py:377(_make_request)
      218    0.001    0.000    2.297    0.011 {method 'readline' of '_io.BufferedReader' objects}
       16    0.000    0.000    2.290    0.143 D:\IDE\envs\smart_cab\Lib\site-packages\urllib3\connection.py:485(getresponse)
       16    0.000    0.000    2.287    0.143 D:\IDE\envs\smart_cab\Lib\http\client.py:1386(getresponse)
       16    0.000    0.000    2.286    0.143 D:\IDE\envs\smart_cab\Lib\http\client.py:324(begin)
